kc_pos,kc_vel,d_safe,k_rep,u_max,final_mean_err,decay_ratio,min_pair_dist,improve_final_pct,improve_decay_pct,safe_flag,score
0.16,0.1,0.45,1.8,1.2,1.07839619807441,0.632407699775294,0.158047661270393,9.56342751273994,9.56342751273995,0,1.49791958537048
0.16,0.1,0.45,1.8,1,1.0799904252556,0.633342608064448,0.157990701788619,9.42973226947988,9.42973226947989,0,1.5000834073694
0.08,0.2,0.45,1.2,1,1.101664191537,0.646052831546285,0.159383598765658,7.61212466025427,7.61212466025428,0,1.50782820388042
0.08,0.2,0.45,1.2,1.2,1.101664191537,0.646052831546285,0.159383598765658,7.61212466025427,7.61212466025428,0,1.50782820388042
0.04,0.3,0.25,2.4,1,1.1341132272951,0.665082034449958,0.162122838747869,4.89088029782122,4.89088029782123,0,1.51288483981641
0.04,0.3,0.25,2.4,1.2,1.1341132272951,0.665082034449958,0.162122838747869,4.89088029782122,4.89088029782123,0,1.51288483981641
0.08,0.1,0.45,1.2,1,1.09984197292474,0.644984221435154,0.158046701833712,7.76493974427406,7.76493974427408,0,1.51937495458762
0.08,0.1,0.45,1.2,1.2,1.09984197292474,0.644984221435154,0.158046701833712,7.76493974427406,7.76493974427408,0,1.51937495458762
0.04,0.3,0.25,1.8,1,1.13408350159867,0.665064602304576,0.161087972208851,4.89337315722189,4.89337315722189,0,1.52320377951016
0.04,0.3,0.25,1.8,1.2,1.13408350159867,0.665064602304576,0.161087972208851,4.89337315722189,4.89337315722189,0,1.52320377951016
0.04,0.1,0.35,1.8,1,1.13134669711797,0.663459648365136,0.160323325329368,5.12288733507649,5.12288733507651,0,1.52811344382429
0.04,0.1,0.35,1.8,1.2,1.13134669711797,0.663459648365136,0.160323325329368,5.12288733507649,5.12288733507651,0,1.52811344382429
0.04,0.2,0.35,1.2,1,1.13296977218771,0.664411474023698,0.160228834665999,4.98677284722898,4.986772847229,0,1.53068142552772
0.04,0.2,0.35,1.2,1.2,1.13296977218771,0.664411474023698,0.160228834665999,4.98677284722898,4.986772847229,0,1.53068142552772
