p,d,rmse_pos,rmse_vel,max_pos_err,control_rms,settle_time_abs,settle_time_50pct,loss_rate_emp,final_pos_err,decay_ratio
0.55,5,0.65832573412766,0.0167019607278587,1.28062484748657,0.050436007265987,66.55,35.3,0.54,0.166239527314042,0.129811261776088
0.55,6,0.654974760546594,0.0167144731735976,1.28062484748657,0.0505277644492692,66.2,35.05,0.5435,0.166466684032962,0.129988641372749
0.55,7,0.654626595039648,0.0167298599251241,1.28062484748657,0.0506290899503159,66.1,35,0.5375,0.166842651916168,0.130282222966096
0.55,8,0.654217661082997,0.0167442173694239,1.28062484748657,0.0507403922245122,66,34.95,0.5505,0.167182570657501,0.130547654908948
0.65,0,0.657957129011332,0.0166447205763519,1.28062484748657,0.0500323838011598,66.8,35.35,0.667,0.1648689160539,0.128740994193171
0.65,1,0.658969475342219,0.0166529036733227,1.28062484748657,0.0500881827341677,66.85,35.4,0.646,0.16508055737068,0.128906258296235
0.65,2,0.656716490381433,0.016666645402289,1.28062484748657,0.050203209077885,66.6,35.2,0.652,0.165387013516185,0.129145560341721
0.65,3,0.656926345122036,0.0166817447711599,1.28062484748657,0.0503117144477862,66.5,35.2,0.651,0.165701021973863,0.129390759752224
0.65,4,0.655851992152056,0.0167003702488081,1.28062484748657,0.0504429711934938,66.35,35.1,0.6575,0.166134950659462,0.129729601128331
0.65,5,0.656912288817266,0.0167096418382179,1.28062484748657,0.0504933407601533,66.35,35.2,0.644,0.166441026148421,0.129968605930994
0.65,6,0.657302171975289,0.0167199249609185,1.28062484748657,0.0505594644747738,66.35,35.2,0.6335,0.166605472470639,0.130097016934841
0.65,7,0.656180196523365,0.0167370719969708,1.28062484748657,0.0506967547162146,66.2,35.1,0.6445,0.166967811833007,0.130379956441348
0.65,8,0.657766561829733,0.0167509492549843,1.28062484748657,0.0507724229663713,66.25,35.2,0.647,0.167365167468663,0.130690239063488
