kc_pos,kc_vel,d_safe,k_rep,u_max,final_mean_err,decay_ratio,min_pair_dist,improve_final_pct,improve_decay_pct,safe_flag,score
0.12,0.3,0.45,1.8,1,1.08803872543891,0.638062401230558,0.167687299698201,8.75478489464013,8.75478489464014,0,1.4111657284569
0.12,0.3,0.45,1.8,1.2,1.08803872543891,0.638062401230558,0.167687299698201,8.75478489464013,8.75478489464014,0,1.4111657284569
0.12,0.2,0.45,1.8,1,1.08682238920525,0.637349100867431,0.166409391842516,8.85678940852889,8.8567894085289,0,1.42272847078009
0.12,0.2,0.45,1.8,1.2,1.08682238920525,0.637349100867431,0.166409391842516,8.85678940852889,8.8567894085289,0,1.42272847078009
0.04,0.2,0.35,1.8,1,1.13397600772102,0.665001564289398,0.170274053047997,4.90238781980598,4.902387819806,0,1.43123547724105
0.04,0.2,0.35,1.8,1.2,1.13397600772102,0.665001564289398,0.170274053047997,4.90238781980598,4.902387819806,0,1.43123547724105
0.12,0.1,0.45,1.8,1,1.08567417098983,0.636675747194866,0.16533241278891,8.95308140219082,8.95308140219083,0,1.43235004310073
0.12,0.1,0.45,1.8,1.2,1.08567417098983,0.636675747194866,0.16533241278891,8.95308140219082,8.95308140219083,0,1.43235004310073
0.04,0.3,0.35,0.8,1,1.13527928286527,0.665765848545611,0.16887582602583,4.79309242608696,4.79309242608696,0,1.44652102260697
0.04,0.3,0.35,0.8,1.2,1.13527928286527,0.665765848545611,0.16887582602583,4.79309242608696,4.79309242608696,0,1.44652102260697
0.04,0.1,0.45,0.8,1,1.13326247547634,0.664583125049368,0.166986017635312,4.96222613403892,4.96222613403893,0,1.46340229912322
0.04,0.1,0.45,0.8,1.2,1.13326247547634,0.664583125049368,0.166986017635312,4.96222613403892,4.96222613403893,0,1.46340229912322
0.16,0.3,0.45,1.8,1.2,1.08009032255941,0.63340119119394,0.158767579747216,9.42135467154937,9.42135467154938,0,1.49241452508725
0.08,0.3,0.45,1.2,1,1.10432681461359,0.647614283022324,0.161031098252113,7.38883149091378,7.38883149091379,0,1.49401583209247
0.08,0.3,0.45,1.2,1.2,1.10432681461359,0.647614283022324,0.161031098252113,7.38883149091378,7.38883149091379,0,1.49401583209247
0.16,0.3,0.45,1.8,1,1.08154380153748,0.634253560016119,0.158679765543612,9.29946286852392,9.29946286852392,0,1.49474614610136
0.16,0.2,0.45,1.8,1.2,1.07982332057968,0.63324461227783,0.158407597704319,9.44374601893786,9.44374601893787,0,1.4957473435365
0.16,0.2,0.45,1.8,1,1.08134797895219,0.634138723084253,0.158326907021223,9.31588496224067,9.31588496224067,0,1.49807890873997
0.16,0.1,0.45,1.8,1.2,1.07973870761833,0.63319499239939,0.158158623343996,9.45084183977456,9.45084183977457,0,1.49815247417838
